Provider,Measure_ID,Value,Footnote,Start_Date,End_Date
010001,MSPB-1,0.979005,,01012014,12312014
010005,MSPB-1,0.975260,,01012014,12312014
010006,MSPB-1,0.954461,,01012014,12312014
010007,MSPB-1,1.065313,,01012014,12312014
010008,MSPB-1,1.013882,,01012014,12312014
010011,MSPB-1,0.990596,,01012014,12312014
010012,MSPB-1,1.056177,,01012014,12312014
010016,MSPB-1,1.002976,,01012014,12312014
010018,MSPB-1,N/A,1-The number of cases/patients is too few to report,01012014,12312014
010019,MSPB-1,1.042492,,01012014,12312014
010021,MSPB-1,0.960049,,01012014,12312014
010022,MSPB-1,0.985742,,01012014,12312014
010023,MSPB-1,1.010761,,01012014,12312014
010024,MSPB-1,1.032672,,01012014,12312014
010029,MSPB-1,0.886671,,01012014,12312014
010032,MSPB-1,0.842403,,01012014,12312014
010033,MSPB-1,0.971372,,01012014,12312014
010034,MSPB-1,0.881820,,01012014,12312014
010035,MSPB-1,0.950361,,01012014,12312014
010036,MSPB-1,0.929952,,01012014,12312014
010038,MSPB-1,0.955061,,01012014,12312014
010039,MSPB-1,0.996790,,01012014,12312014
010040,MSPB-1,1.027347,,01012014,12312014
010044,MSPB-1,0.887316,,01012014,12312014
010045,MSPB-1,0.942600,,01012014,12312014
010046,MSPB-1,1.036575,,01012014,12312014
010047,MSPB-1,0.877311,,01012014,12312014
010049,MSPB-1,0.987801,,01012014,12312014
010051,MSPB-1,0.952984,,01012014,12312014
010052,MSPB-1,0.792424,,01012014,12312014
010055,MSPB-1,0.992945,,01012014,12312014
010056,MSPB-1,1.020354,,01012014,12312014
010058,MSPB-1,0.950882,,01012014,12312014
010059,MSPB-1,0.911717,,01012014,12312014
010061,MSPB-1,0.934722,,01012014,12312014
010062,MSPB-1,0.978467,,01012014,12312014
010065,MSPB-1,0.992357,,01012014,12312014
010069,MSPB-1,0.923669,,01012014,12312014
010073,MSPB-1,0.979194,,01012014,12312014
010078,MSPB-1,0.981114,,01012014,12312014
010079,MSPB-1,0.962291,,01012014,12312014
010083,MSPB-1,0.956762,,01012014,12312014
010085,MSPB-1,0.966854,,01012014,12312014
010086,MSPB-1,1.000948,,01012014,12312014
010087,MSPB-1,0.977468,,01012014,12312014
010089,MSPB-1,0.996702,,01012014,12312014
010090,MSPB-1,0.977093,,01012014,12312014
010091,MSPB-1,1.059414,,01012014,12312014
010092,MSPB-1,0.998692,,01012014,12312014
010095,MSPB-1,0.991185,,01012014,12312014
010097,MSPB-1,1.067086,,01012014,12312014
010099,MSPB-1,1.088026,,01012014,12312014
010100,MSPB-1,0.954233,,01012014,12312014
010101,MSPB-1,0.984776,,01012014,12312014
010102,MSPB-1,1.020556,,01012014,12312014
010103,MSPB-1,0.994756,,01012014,12312014
010104,MSPB-1,1.014600,,01012014,12312014
010108,MSPB-1,0.915927,,01012014,12312014
010109,MSPB-1,0.888409,,01012014,12312014
010110,MSPB-1,0.995443,,01012014,12312014
010112,MSPB-1,0.984478,,01012014,12312014
010113,MSPB-1,0.982710,,01012014,12312014
010114,MSPB-1,0.976066,,01012014,12312014
010118,MSPB-1,0.978827,,01012014,12312014
010120,MSPB-1,0.973804,,01012014,12312014
